"Entrez_ID","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro","HGNC Symbol"
693135,0,0,0,0,0,0,"MIR551A"
127262,6190,5050,5033,4565,4901,4826,"TPRG1L"
49856,3659,2695,3079,2819,3028,2706,"WRAP73"
7161,2003,1695,1667,1556,1803,1585,"TP73"
57212,5539,4112,4933,4264,4673,4051,"TP73-AS1"
148870,3,2,3,4,1,7,"CCDC27"
388588,222,175,132,129,141,157,"SMIM1"
57470,11306,8318,8957,8222,8594,8308,"LRRC47"
9731,10313,8371,9050,8341,8481,8469,"CEP104"
1677,1498,1237,1256,1190,1176,1211,"DFFB"
339448,6362,4932,5203,5013,4995,4950,"C1orf174"
100133612,10,10,15,10,10,16,"LINC01134"
728716,0,0,0,0,0,0,NA
284661,7,7,10,13,11,11,"LINC01777"
55966,0,0,0,0,0,0,"AJAP1"
100616489,0,0,0,0,0,0,NA
100616421,1,0,0,1,0,0,"MIR4689"
261734,3565,2864,3257,2814,3045,2821,"NPHP4"
8514,4766,3783,4062,3693,4079,3673,"KCNAB2"
26038,131,136,155,133,151,111,"CHD5"
6146,30413,22525,22601,21590,20817,22366,"RPL22"
102724450,18,5,9,4,12,9,"RNF207-AS1"
388591,1759,1187,1977,1628,1812,1185,"RNF207"
23463,52909,40712,41241,38714,38607,41326,"ICMT"
148645,30,21,26,27,22,26,NA
390992,0,0,1,0,0,0,"HES3"
387509,2863,2323,2288,2091,2203,2123,"GPR153"
11332,18614,13937,14446,13399,13907,13697,"ACOT7"
54626,22,14,14,23,12,6,"HES2"
83715,167,129,148,117,150,111,"ESPN"
100422975,0,0,0,0,0,0,"MIR4252"
8718,1064,796,1163,990,943,709,"TNFRSF25"
57449,4251,3256,4404,3761,4207,3268,"PLEKHG5"
79707,8715,4873,6979,6111,5026,5678,"NOL9"
80835,10,1,6,5,7,7,"TAS1R1"
3104,2667,1968,2706,2317,2565,2074,"ZBTB48"
9903,6799,5323,5771,5266,5558,5307,"KLHL21"
148479,8491,6829,7025,6521,6874,6426,"PHF13"
90326,2463,1829,1990,1870,2064,1892,"THAP3"
55735,9457,7634,8514,7816,7925,7680,"DNAJC11"
100505887,0,0,0,2,2,1,NA
23261,6396,5134,4945,4798,4776,4893,"CAMTA1"
9341,29635,23297,23120,21746,21496,22600,"VAMP3"
8863,3825,3437,3370,3369,3364,3224,"PER3"
10911,8,3,5,11,7,4,"UTS2"
3604,1676,799,1106,1131,945,964,"TNFRSF9"
11315,33963,25639,25019,24388,24369,25091,"PARK7"
54206,9562,9589,7990,7574,7604,7457,"ERRFI1"
102724539,1,2,0,0,0,1,"LINC01714"
50651,92,99,82,68,97,88,"SLC45A1"
473,11467,10660,11426,10381,10736,9862,"RERE"
102724552,10,6,5,8,8,2,NA
2023,411978,309986,329156,314813,315732,307381,"ENO1"
102465436,4,0,2,5,6,0,"MIR6728"
100505975,13,9,12,10,9,5,"ENO1-AS1"
765,1,0,0,3,1,0,"CA6"
155184,8,0,2,2,2,0,"SLC2A7"
6518,22,22,17,15,17,15,"SLC2A5"
80045,512,322,424,367,381,367,"GPR157"
407040,0,3,0,0,2,1,"MIR34A"
9563,7528,5980,5945,5631,5861,5906,"H6PD"
80176,3607,2787,2689,2578,2589,2577,"SPSB1"
100506022,118,93,81,80,83,88,"LINC02606"
84275,2433,1686,1833,1636,1617,1644,"SLC25A33"
199953,6942,5270,6123,5544,5957,5311,"TMEM201"
5293,8598,6450,7943,7042,7313,7019,"PIK3CD"
644997,0,1,1,0,0,1,"PIK3CD-AS1"
101929074,469,305,352,329,347,338,"PIK3CD-AS2"
22883,48205,38923,43085,40041,41004,39538,"CLSTN1"
56998,4973,3866,3736,3684,3629,3715,"CTNNBIP1"
84328,7161,5636,5628,5273,5162,5518,"LZIC"
64802,3186,2366,2512,2274,2358,2313,"NMNAT1"
100847055,0,0,0,2,1,0,"MIR5697"
105376719,1,3,1,3,1,0,NA
116362,139,116,111,111,110,108,"RBP7"
10277,14230,11602,13039,11904,12419,11680,"UBE4B"
23095,25573,22112,23851,21837,21673,22599,"KIF1B"
100422970,0,0,0,0,0,0,NA
5226,43481,33158,34865,32847,34281,34124,"PGD"
100526739,0,0,0,0,0,0,"CENPS-CORT"
378708,1275,919,898,847,819,951,"CENPS"
1325,38,24,37,19,27,22,"CORT"
1676,8422,6095,6470,6031,6044,6196,"DFFA"
5195,4423,3335,3465,3324,3575,3432,"PEX14"
54897,1209,883,1141,969,1059,926,"CASZ1"
148345,22,11,10,19,16,5,"C1orf127"
23435,47075,37779,39100,36560,35583,35413,"TARDBP"
10747,272,198,341,242,287,186,"MASP2"
6723,16901,11976,12551,12018,12447,12575,"SRM"
5394,23958,19238,21824,19753,19847,18974,"EXOSC10"
2475,22115,19606,22262,20102,20868,19751,"MTOR"
100873935,3,0,2,2,2,0,"MTOR-AS1"
10218,9,0,6,3,3,6,"ANGPTL7"
29914,6105,4746,5101,4644,4650,4869,"UBIAD1"
57540,39,26,33,40,39,39,"DISP3"
101929181,3,8,3,4,3,3,"LINC01647"
26232,313,242,238,255,275,224,"FBXO2"
93611,2499,1756,2242,1983,2135,1749,"FBXO44"
26270,1924,1401,1438,1381,1373,1320,"FBXO6"
10459,8448,6196,6404,6081,6222,6261,"MAD2L2"
374946,16,12,16,9,14,13,"DRAXIN"
57085,5221,3744,3996,3692,3938,3890,"AGTRAP"
284498,4,0,1,2,2,3,"C1orf167"
102724659,1,0,1,0,3,1,"C1orf167-AS1"
4524,7120,6067,6428,6044,6420,5745,"MTHFR"
1185,8435,7050,8649,7888,8456,6638,"CLCN6"
100379251,310,221,385,316,376,192,NA
4878,154,93,169,148,151,90,"NPPA"
4879,982,625,639,620,602,618,"NPPB"
26829,8,3,2,0,2,4,NA
90231,8922,6771,6912,6459,6727,6577,"KIAA2013"
5351,32387,25145,27440,25351,25550,24562,"PLOD1"
9927,28777,23416,24674,23074,23204,22694,"MFN2"
60672,3762,2636,3131,2972,3267,2687,"MIIP"
102466982,0,0,1,1,0,0,"MIR6729"
943,112,74,102,87,104,87,"TNFRSF8"
102465836,0,0,0,0,0,0,"MIR7846"
7133,290,328,242,227,256,255,"TNFRSF1B"
100616438,0,0,0,0,0,0,"MIR4632"
55187,11117,11071,11651,10389,10824,10903,"VPS13D"
677885,6,4,6,12,8,3,"SNORA59A"
9249,434,341,309,310,320,316,"DHRS3"
102466722,0,0,0,1,0,0,"MIR6730"
343066,1,4,3,6,4,0,"AADACL4"
126767,0,0,0,0,0,0,"AADACL3"
93190,2,0,0,0,0,0,"CFAP107"
390999,0,0,0,0,0,1,"PRAMEF12"
65121,3,3,1,4,2,6,"PRAMEF1"
440560,0,0,0,0,0,0,"PRAMEF11"
343069,22,12,20,13,10,22,"HNRNPCL1"
65122,0,1,1,0,0,0,"PRAMEF2"
400735,0,0,0,0,0,1,"PRAMEF4"
343071,0,0,0,0,0,0,"PRAMEF10"
441871,0,0,0,0,0,0,"PRAMEF7"
440561,0,0,0,0,0,0,"PRAMEF6"
653606,0,0,0,0,0,0,NA
102724742,0,0,0,0,0,0,NA
101929983,0,0,0,0,0,0,"PRAMEF27"
649330,0,0,0,0,0,0,"HNRNPCL3"
441873,0,0,0,0,0,0,"PRAMEF25"
649324,0,0,0,0,0,0,NA
440563,1,1,0,0,0,0,"HNRNPCL2"
645354,0,0,0,0,0,0,NA
645359,0,0,0,0,0,0,"PRAMEF25"
645359,0,0,0,0,0,0,"PRAMEF26"
101060301,0,0,0,0,0,0,"HNRNPCL4"
343070,0,0,0,0,0,0,"PRAMEF9"
400736,0,0,0,0,0,0,"PRAMEF13"
391003,0,0,0,0,0,0,"PRAMEF18"
343068,0,0,0,0,0,0,"PRAMEF5"
391002,0,0,0,0,0,0,"PRAMEF8"
645382,0,0,0,0,0,0,"PRAMEF33"
653619,0,0,0,0,0,0,"PRAMEF15"
729528,0,0,0,0,0,0,"PRAMEF14"
645414,1,1,0,0,1,0,"PRAMEF19"
391004,0,0,0,0,0,0,"PRAMEF17"
645425,2,0,0,0,0,0,"PRAMEF20"
126755,64,35,49,49,44,33,"LRRC38"
10630,20552,14769,16145,15413,15484,15592,"PDPN"
7799,10579,8676,10075,8995,9040,8952,"PRDM2"
23254,6421,5053,5323,5030,5066,5019,"KAZN"
200197,23,19,18,15,23,18,"TMEM51-AS1"
55092,3925,2921,3063,2877,2825,2887,"TMEM51"
727684,2,0,1,1,0,0,"TMEM51-AS2"
114827,51,42,48,38,61,51,"FHAD1"
101927417,3,2,5,3,3,3,"FHAD1-AS1"
79180,17974,13111,13299,12741,12908,13394,"EFHD2"
11330,7,2,11,7,11,5,"CTRC"
63036,1,0,1,1,0,0,"CELA2A"
51032,10,8,8,10,8,12,"CELA2B"
842,2805,2056,2295,2040,2157,2029,"CASP9"
23341,5267,4350,5021,4409,4422,4348,"DNAJC16"
79814,23,3,9,11,12,6,"AGMAT"
84301,1431,1427,1411,1261,1368,1360,"DDI2"
6248,1278,1105,1152,1065,1061,1076,"RSC1A1"
23207,17152,13225,14205,13433,14243,13741,"PLEKHM2"
284723,89,68,91,86,105,72,"SLC25A34"
388595,0,0,2,2,1,1,"TMEM82"
54751,66,41,54,58,80,49,"FBLIM1"
440567,2129,1517,1638,1612,1508,1569,"UQCRHL"
729614,536,366,443,360,420,362,"SPEN-AS1"
23013,16051,15866,16788,15409,15997,15627,"SPEN"
7709,3739,2881,3208,2886,3203,2934,"ZBTB17"
101928566,0,0,1,0,0,0,NA
149563,1,1,0,1,0,0,"SRARP"
27129,1,3,0,1,4,3,"HSPB7"
1187,7,5,6,6,6,8,"CLCNKA"
1188,20,30,22,21,25,21,"CLCNKB"
348487,235,161,168,158,166,173,"FAM131C"
1969,23946,16524,20477,19233,19397,18339,"EPHA2"
128272,1417,1102,1402,1217,1217,1128,"ARHGEF19"
101927546,8,15,10,15,17,13,NA
79363,475,391,399,387,410,423,"CPLANE2"
54455,6786,5690,5740,5205,5326,5266,"FBXO42"
26099,46490,36877,36646,35395,36548,37325,"SZRD1"
374955,3,0,2,3,3,0,"SPATA21"
55707,11110,8463,8601,8226,8549,8282,"NECAP2"
114819,520,341,586,431,482,365,""
26871,1,0,0,0,0,0,"RNU1-1"
100126512,1,0,2,1,0,1,NA
100126517,1,0,2,0,0,1,NA
102724970,3,4,1,5,2,3,NA
100133301,0,0,0,1,0,0,NA
7195,0,0,0,0,0,0,NA
55672,4152,3845,4070,3695,3994,3629,"NBPF1"
84809,4885,3505,4549,3873,4329,3539,""
11209,273,168,305,239,266,172,NA
26869,0,0,0,0,0,0,"RNU1-3"
729574,0,0,0,0,0,0,NA
100126533,0,0,0,0,0,0,NA
284729,1,0,0,0,0,0,NA
100189045,0,0,0,0,0,0,NA
102723383,0,0,0,0,0,0,NA
6060,1,0,0,0,0,0,"RNU1-4"
11223,21,20,24,20,26,18,NA
100500876,0,0,0,0,0,0,"MIR3675"
100189298,0,0,0,0,0,0,NA
7193,0,2,2,0,2,3,NA
791226,0,0,0,0,0,0,NA
9696,1197,959,1295,1032,1151,903,"CROCC"
26870,0,1,0,0,1,0,"RNU1-2"
4237,2182,1675,1730,1648,1711,1490,"MFAP2"
23400,9686,8631,8364,7775,8601,7897,"ATP13A2"
6390,17565,13135,13172,12530,12629,13075,"SDHB"
11240,171,131,143,128,149,138,"PADI2"
29943,767,484,608,591,616,547,"PADI1"
51702,128,96,111,107,116,85,"PADI3"
100616188,0,0,0,0,0,0,"MIR3972"
23569,205,132,190,131,169,140,"PADI4"
353238,1,0,0,1,1,0,"PADI6"
55920,50447,38715,40756,39123,39687,39258,"RCC2"
55160,2282,1735,1993,1815,1973,1903,"ARHGEF10L"
81569,7,8,4,4,6,9,"ACTL8"
101927876,0,0,0,0,0,0,"LINC01654"
84966,0,0,0,0,0,0,"IGSF21"
127707,552,374,403,414,426,395,"KLHDC7A"
5081,1,0,0,0,0,0,"PAX7"
80834,0,0,0,0,1,0,"TAS1R2"
8659,4720,3554,3661,3407,3787,3523,"ALDH4A1"
100616120,0,0,0,0,0,0,"MIR4695"
100302276,0,0,0,0,0,0,"MIR1290"
126917,5203,3679,4533,4126,3893,4176,"IFFO2"
23352,32023,32042,39029,33507,34650,31863,"UBR4"
23065,20333,16236,18405,17370,17087,16350,"EMC1"
51154,17736,12477,13185,12159,12223,12673,"MRTO4"
246181,74,48,65,60,75,40,"AKR7L"
22977,82,68,105,74,68,48,"AKR7A3"
100506730,443,301,379,324,325,292,NA
8574,9686,7313,7593,6855,7035,6901,"AKR7A2"
54896,7139,5199,5787,5302,5582,5284,"SLC66A1"
832,43763,33404,34359,32802,32621,32886,"CAPZB"
100532736,0,0,0,0,0,0,"NBL1"
440574,11241,8529,7925,7633,8032,8383,"MICOS10"
644068,57,26,39,36,46,38,NA
4681,29,15,16,9,10,6,"NBL1"
3362,9,5,3,2,0,5,"HTR6"
255104,3956,3030,3269,2974,3257,3166,"TMCO4"
54546,0,0,0,1,1,1,"RNF186"
23252,4434,3478,4757,3867,4005,3441,"OTUD3"
30814,0,0,0,0,0,0,"PLA2G2E"
5320,0,0,1,0,0,0,"PLA2G2A"
5322,4,0,1,0,1,1,"PLA2G5"
26279,2,3,1,3,3,2,"PLA2G2D"
64600,0,2,0,1,0,0,"PLA2G2F"
391013,0,0,0,0,0,0,"PLA2G2C"
127733,3,4,2,0,1,2,"UBXN10"
101928017,0,0,0,0,0,0,NA
127731,21,22,22,15,17,13,"VWA5B1"
339505,0,1,0,0,0,3,NA
55450,1538,1230,1190,1141,1035,1156,"CAMK2N1"
79594,7905,6253,6235,5852,6023,6170,"MUL1"
163933,33,19,32,26,27,28,"FAM43B"
978,5201,3448,3753,3463,3606,3784,"CDA"
65018,4169,3160,3198,3175,3388,3164,"PINK1"
102464833,0,0,0,0,0,0,"MIR6084"
100861548,748,544,587,576,549,523,"PINK1-AS"
1650,56405,43349,44685,41991,42397,41824,"DDOST"
57576,165,176,157,133,150,109,"KIF17"
400745,4096,3108,3346,3164,3345,3110,"SH2D5"
50809,50992,40651,48073,41961,42961,40530,"HP1BP3"
8672,23137,19340,22170,19979,20017,19184,"EIF4G3"
100302155,0,0,0,0,0,0,"MIR1256"
1889,31814,26572,28382,26545,27379,26391,"ECE1"
100506801,12,5,7,11,7,6,"ECE1-AS1"
84224,1575,1342,1406,1328,1381,1336,"NBPF3"
249,7,6,4,11,3,4,"ALPL"
5909,156,91,147,116,131,126,"RAP1GAP"
84196,18730,14943,16138,14711,14392,14643,"USP48"
401944,33,30,43,34,37,10,"LDLRAD2"
3339,13623,14139,17372,15463,16845,13669,"HSPG2"
23436,0,0,0,0,0,1,"CELA3B"
10136,0,0,2,0,0,0,"CELA3A"
101928043,11,11,12,25,16,9,"LINC01635"
29092,1164,880,981,919,901,899,"LINC00339"
998,56616,44875,43492,41169,40059,42198,"CDC42"
54361,47,42,69,52,61,45,"WNT4"
100616433,0,0,0,0,0,0,"MIR4418"
9923,7177,6055,7362,6583,6683,6036,"ZBTB40"
2046,1,0,0,0,0,0,"EPHA8"
102466615,0,0,0,0,0,0,"MIR6127"
712,0,0,0,0,0,0,"C1QA"
714,0,0,0,0,0,0,"C1QC"
713,0,0,0,0,0,0,"C1QB"
2048,7421,5734,6330,5872,5912,5937,"EPHB2"
100616391,2,0,1,0,0,0,"MIR4684"
100422914,0,0,0,0,0,0,"MIR4253"
646262,0,0,0,0,0,0,"LACTBL1"
729059,2,0,5,4,2,4,"TEX46"
23028,38574,30248,31706,29242,29618,29337,"KDM1A"
100422866,0,0,0,0,0,1,"MIR3115"
100616177,0,0,0,0,0,0,NA
7798,21322,18483,19639,18092,18021,18687,"LUZP1"
3352,2340,1578,1854,1819,1871,1710,"HTR1D"
100996511,394,258,530,335,375,211,NA
10236,61722,48924,48315,46609,44951,48333,"HNRNPR"
80818,6238,6604,5503,5316,5568,5322,"ZNF436"
148898,283,213,308,255,258,214,NA
6920,1923,1454,1607,1488,1438,1348,"TCEA3"
55616,4319,4005,3930,3442,3969,3358,"ASAP3"
1870,3294,2629,2829,2631,2840,2675,"E2F2"
101928163,2,1,1,2,1,0,NA
3399,3322,2580,2429,2158,2580,2469,"ID3"
259283,0,0,0,0,0,2,"MDS2"
6135,93176,69754,70236,65004,65004,68129,"RPL11"
6924,21191,17067,17792,16273,16287,16883,"ELOA"
100506963,35,20,33,32,38,24,"ELOA-AS1"
57095,12747,9326,10047,9149,8738,9351,"PITHD1"
11313,7984,5979,6384,5947,6301,5790,"LYPLA2"
2582,9651,6854,7295,7006,7348,7061,"GALE"
3155,6776,5039,5173,5051,5147,5321,"HMGCL"
2517,9676,7832,7950,7326,7270,7463,"FUCA1"
1269,3,0,1,1,1,4,"CNR2"
100616492,0,0,0,0,0,0,"MIR378F"
55629,23681,18394,19317,17676,16832,18217,"PNRC2"
10772,43162,34965,38408,34876,35118,33169,"SRSF10"
127294,1046,880,923,849,894,899,"MYOM3"
58985,765,639,662,593,616,563,"IL22RA1"
163702,1915,1724,1680,1628,1592,1597,"IFNLR1"
284632,0,0,0,0,1,0,"LINC02800"
57822,275,252,267,234,235,246,"GRHL3"
90529,1300,1130,1080,981,1049,1003,"STPG1"
57185,7623,6955,6385,5988,6264,6292,"NIPAL3"
100750325,6,3,5,2,2,3,"RCAN3AS"
11123,1904,1686,1625,1480,1375,1396,"RCAN3"
100506985,315,289,255,224,210,228,NA
400746,2,2,0,0,0,1,"NCMAP"
10250,19813,13575,16598,14697,14962,13654,"SRRM1"
25932,179350,142548,145881,139843,131760,141560,"CLIC4"
864,238,150,173,159,182,165,"RUNX3"
102465437,0,0,0,0,0,0,"MIR6731"
100616365,0,0,0,0,0,0,"MIR4425"
25949,8161,6347,6221,5714,5694,6054,"SYF2"
57035,11144,7942,12533,10726,10711,7862,"RSRP1"
6007,45,30,49,30,41,28,"RHD"
23585,8828,7054,6894,6675,6291,6601,"TMEM50A"
6006,23,12,20,8,9,8,"RHCE"
55219,6649,5687,6026,5385,5319,5302,"MACO1"
26119,6747,5002,5848,5109,5472,5042,"LDLRAP1"
57134,767,583,645,627,592,611,"MAN1C1"
57190,14842,11974,13176,12223,12901,11966,"SELENON"
56181,4130,3017,3324,2979,3077,3006,"MTFR1L"
646471,293,248,450,326,360,237,NA
79000,4407,3121,3448,3174,3157,3038,"AUNIP"
164091,4878,3684,4239,3838,3911,3787,"PAQR7"
3925,111871,85256,85595,79476,78478,82084,"STMN1"
100500808,0,0,0,0,0,0,"MIR3917"
5051,2312,1843,1974,1750,1785,1813,"PAFAH2"
2134,39,29,43,44,40,33,"EXTL1"
7780,17,20,17,12,17,7,"SLC30A2"
105376910,0,0,1,0,0,0,NA
84676,6,5,6,3,2,5,"TRIM63"
149420,3737,3063,3212,2892,2789,2914,"PDIK1L"
79927,22,10,24,18,19,12,"FAM110D"
105376887,5,1,2,2,0,0,NA
51042,3871,2669,2700,2761,2833,2741,"ZNF593"
10256,27,23,36,36,33,34,"CNKSR1"
378807,0,2,2,1,0,0,"CATSPER4"
101928303,0,0,1,2,0,1,"ZPLD2P"
64793,9192,7460,8877,7571,7748,7403,"CEP85"
83442,24902,18087,18492,16760,16935,17806,"SH3BGRL3"
91544,2861,2089,2584,2353,2509,2066,"UBXN11"
1043,5,4,3,2,0,0,"CD52"
55057,854,558,731,676,682,632,"CRYBG2"
257101,0,0,0,0,0,1,"ZNF683"
79727,8,3,5,9,12,2,"LIN28A"
79947,7154,5629,6348,5671,5924,5697,"DHDDS"
101928324,30,13,31,23,28,14,NA
3151,56339,42055,46057,43383,43995,43926,"HMGN2"
6195,15531,12789,13049,12118,12282,12096,"RPS6KA1"
100302190,0,0,0,0,0,0,"MIR1976"
101928728,140,128,118,111,137,129,""
8289,19440,16404,18694,17145,16810,16358,"ARID1A"
55650,1946,1541,1592,1524,1528,1494,"PIGV"
84243,9918,7933,8188,7745,7855,7645,"ZDHHC18"
2810,2187,1466,1504,1584,1634,1483,"SFN"
54707,4513,3306,3553,3225,3239,3109,"GPN2"
63906,4525,3533,3636,3544,3432,3401,"GPATCH3"
10726,25705,19146,20212,19058,19607,20074,"NUDC"
8431,15,8,13,11,11,9,"NR0B2"
126695,276,284,186,200,208,166,"KDF1"
388610,11068,9008,7895,7737,7464,7819,"TRNP1"
115572,3509,4027,2739,2813,3279,2922,"TENT5B"
6548,8129,6656,7581,7182,7013,6563,"SLC9A1"
23038,10994,8907,9505,8950,9306,8514,"WDTC1"
84065,6488,4785,5300,4686,4931,4830,"TMEM222"
644961,252,150,230,197,183,160,NA
100887744,0,0,0,0,0,0,NA
84958,2085,1231,1815,1716,1886,1413,"SYTL1"
9064,7608,6719,7239,6496,7155,5954,"MAP3K6"
8547,13,11,10,13,10,7,"FCN3"
388611,0,1,1,0,1,1,"CD164L2"
2827,271,199,243,230,195,216,"GPR3"
10163,30537,26785,27489,25682,26018,25622,"WASF2"
27245,5684,4893,5209,4624,5070,4538,"AHDC1"
2268,6,9,13,6,6,4,"FGR"
2537,193272,147069,147446,147389,142000,144788,"IFI6"
199870,2208,1890,1899,1803,1833,1775,"FAM76A"
23673,13691,10877,11381,10336,10327,10830,"STX12"
5511,15729,12314,12837,11806,11828,12221,"PPP1R8"
677774,2,0,1,2,2,2,"SCARNA1"
9473,5394,4013,4684,4325,4283,4197,"THEMIS2"
6118,15295,11690,11611,11150,11214,11736,"RPA2"
27293,1305,938,1153,928,1065,1036,"SMPDL3B"
55113,50,27,36,38,43,33,"XKR8"
2140,6776,5548,6140,5554,5522,5714,"EYA3"
5724,185,149,134,156,148,138,"PTAFR"
22826,36251,27605,28112,26390,25519,27313,"DNAJC8"
93974,13180,9403,10033,9218,9703,9548,"ATP5IF1"
83667,7527,5528,6659,5652,5815,5620,"SESN2"
54797,4436,3174,3284,3205,3082,3213,"MED18"
65979,22364,17405,19391,17755,17646,17391,"PHACTR4"
1104,21950,16593,17602,16155,16158,16093,"RCC1"
8420,3349,2203,3425,2748,2944,2247,"SNHG3"
6080,137,92,184,155,141,71,NA
26768,75,64,73,56,60,37,"SNORA73B"
54952,4909,3638,3774,3571,3731,3532,"TRNAU1AP"
85028,2089,1360,2129,1761,1785,1402,"SNHG12"
692212,58,41,100,53,64,41,"SNORD99"
677838,337,227,371,329,304,220,"SNORA61"
