"Entrez_ID","HGNC Symbol","MCF7_EV","MCF7_EVA","MCF7_EVAS","MCF7_OV","MCF7_OVA_1","MCF7_OVA_2","MCF7_OVAS_1","MCF7_OVAS_2","ZR751_EV","ZR751_EVA","ZR751_OV","ZR751_OVA"
64802,"NMNAT1",561,459,525,609,307,469,527,521,582,941,652,575
100847055,"MIR5697",0,0,0,0,0,0,0,1,1,0,0,0
105376719,NA,1,0,0,2,1,1,0,0,0,0,2,1
116362,"RBP7",15,9,7,9,4,3,5,9,8,9,11,8
10277,"UBE4B",4588,4236,3426,4649,2374,3417,3715,4181,3054,4037,2684,2575
23095,"KIF1B",4335,3630,2816,4042,1544,2584,3346,3686,4464,5652,3756,4100
100422970,NA,0,0,0,0,0,0,0,0,0,0,0,0
5226,"PGD",17846,16490,13400,18282,11879,15280,14736,17069,17150,26101,17369,16554
100526739,"CENPS-CORT",0,0,0,0,0,0,0,0,0,0,0,0
378708,"CENPS",120,99,154,158,74,171,82,82,125,147,155,128
1325,"CORT",7,11,14,7,7,13,5,7,13,14,18,14
1676,"DFFA",2604,2471,1929,2827,1906,2395,1916,2134,1070,1363,1032,970
5195,"PEX14",1321,1050,996,1614,975,1196,787,1072,1251,1553,1430,1077
54897,"CASZ1",2652,2306,1689,3107,1147,1851,1322,1866,5135,6149,5861,4192
148345,"C1orf127",28,53,18,20,34,51,27,30,22,25,22,24
23435,"TARDBP",12321,11350,10022,14029,7175,10428,9904,9994,7938,10013,7432,7953
10747,"MASP2",153,224,176,138,137,170,174,186,143,127,153,122
6723,"SRM",10036,14046,8136,11852,12453,16416,7374,9892,4430,6161,5084,4439
5394,"EXOSC10",7181,7322,5933,8054,4668,6952,6096,6027,4725,6091,5032,4734
2475,"MTOR",8468,8410,5905,8783,4079,6021,6959,8200,8173,10337,7279,7493
100873935,"MTOR-AS1",2,2,2,1,0,0,2,0,4,3,4,3
10218,"ANGPTL7",9,3,1,3,2,3,4,1,4,1,2,4
29914,"UBIAD1",2529,2501,1979,2602,1670,2314,2005,2196,1636,1940,1508,1344
57540,"DISP3",172,171,121,194,111,174,107,174,117,142,126,108
101929181,"LINC01647",8,4,3,10,5,11,3,10,16,15,14,16
26232,"FBXO2",44,37,61,69,55,49,30,34,818,1020,992,741
93611,"FBXO44",916,832,725,990,824,840,594,749,3433,4164,3582,3316
26270,"FBXO6",1153,1116,723,1365,879,1127,663,890,1391,1706,1446,1263
10459,"MAD2L2",2800,2201,1904,2863,2057,2226,1670,2046,1561,2274,1817,1577
374946,"DRAXIN",12,1,12,12,6,3,10,4,3,8,4,6
57085,"AGTRAP",2158,1640,1569,2594,1724,1922,1218,1520,3340,4351,3665,2980
284498,"C1orf167",0,0,1,3,0,0,1,0,1,5,4,1
102724659,"C1orf167-AS1",0,0,0,0,0,0,0,1,0,0,1,0
4524,"MTHFR",1650,1536,1230,1585,941,1205,1382,1718,3084,3776,2731,2746
1185,"CLCN6",1085,992,771,1056,544,790,764,947,1275,1496,1229,1271
100379251,NA,16,20,5,19,8,14,22,17,21,46,31,29
4878,"NPPA",22,11,12,17,8,7,5,10,16,28,20,23
4879,"NPPB",3,2,0,8,2,2,0,0,0,0,0,0
26829,NA,0,2,3,4,3,3,1,1,0,3,1,1
90231,"KIAA2013",4968,4218,3531,5556,3572,4632,3113,4266,4809,5964,5244,4146
5351,"PLOD1",4610,4041,2877,4430,3030,3729,2965,4207,10577,14249,9857,9595
9927,"MFN2",9809,9029,6604,10202,5409,7635,7444,8878,12946,16051,11598,11051
60672,"MIIP",1631,1190,999,1889,1277,1571,616,969,1482,1792,1778,1194
102466982,"MIR6729",0,0,0,0,0,0,0,0,0,0,0,0
943,"TNFRSF8",7,8,1,11,0,1,3,2,0,2,7,6
102465836,"MIR7846",0,0,0,0,0,0,0,0,0,0,0,0
7133,"TNFRSF1B",0,0,0,1,0,1,1,0,8,16,12,11
100616438,"MIR4632",0,0,0,0,0,0,0,0,0,0,0,0
55187,"VPS13D",6945,6806,4994,6895,3226,4276,5844,6444,7069,8385,6463,6338
677885,"SNORA59A",2,6,8,15,8,3,2,6,17,27,14,16
9249,"DHRS3",97,49,65,161,82,75,51,55,1998,2474,2005,1565
102466722,"MIR6730",1,0,0,0,0,0,0,0,1,2,0,0
343066,"AADACL4",0,0,0,0,0,0,0,0,26,23,28,18
126767,"AADACL3",0,0,0,0,0,0,0,0,27,26,19,19
93190,"CFAP107",0,0,0,0,0,0,0,0,5,3,1,6
390999,"PRAMEF12",0,0,0,0,0,0,0,1,3,6,5,8
65121,"PRAMEF1",0,0,0,0,0,0,0,0,0,1,1,0
440560,"PRAMEF11",0,0,0,0,0,0,0,0,0,1,0,1
343069,"HNRNPCL1",15,16,15,23,17,15,15,9,10,5,6,6
65122,"PRAMEF2",0,0,0,0,0,0,0,0,1,2,0,3
400735,"PRAMEF4",0,0,0,0,0,0,0,0,0,0,0,0
343071,"PRAMEF10",0,0,0,0,0,0,0,0,0,0,0,0
441871,"PRAMEF7",0,0,0,0,0,0,0,0,0,0,1,0
440561,"PRAMEF6",0,0,0,0,0,0,0,0,0,0,0,0
653606,NA,0,0,0,0,0,0,0,0,0,0,0,0
102724742,NA,0,0,0,0,0,0,0,0,0,0,0,0
101929983,"PRAMEF27",0,0,0,0,0,0,0,0,0,0,0,0
649330,"HNRNPCL3",0,0,0,0,0,0,0,0,0,0,0,0
441873,"PRAMEF25",0,0,0,0,0,0,0,0,0,0,0,0
649324,NA,0,0,0,0,0,0,0,0,0,0,0,0
440563,"HNRNPCL2",0,0,2,0,1,0,0,0,0,1,0,0
645354,NA,0,0,0,0,0,0,0,0,0,0,0,0
645359,"PRAMEF25",0,0,0,0,0,0,0,0,0,0,0,0
645359,"PRAMEF26",0,0,0,0,0,0,0,0,0,0,0,0
101060301,"HNRNPCL4",0,0,0,0,0,0,0,0,0,0,0,0
343070,"PRAMEF9",0,0,0,0,0,0,0,0,0,0,0,0
400736,"PRAMEF13",0,0,0,0,0,0,0,0,0,0,0,0
391003,"PRAMEF18",0,0,0,0,0,0,0,0,0,0,0,0
343068,"PRAMEF5",0,0,0,0,0,0,0,0,0,0,0,0
391002,"PRAMEF8",0,0,0,0,0,0,0,0,0,0,0,0
645382,"PRAMEF33",0,0,0,0,0,0,0,0,0,0,0,0
